Rank,Rankscore,Nick,Name
1,1307,Player0044,Varga Ulrika
2,1238,Player0038,Tót Cicelle
3,1236,Player0030,Török Rajka
4,1233,Player001b,Major Léla
5,1224,Player004f,Novák Margarét
6,1223,Player0031,Nagy Sugárka
7,1223,Player0001,Tót Jutalom
8,1219,Player003d,Gulyás Flanna
9,1205,Player0015,Magyar Évald
10,1197,Player0046,Barna Zinajda
11,1197,Player0009,Balog Szilvió
12,1194,Player0057,Németh Szendike
13,1193,Player002f,Nagy Szulita
14,1189,Player004f,Novák Margarét
15,1185,Player0052,Sipos Dorog
16,1185,Player0051,Lakatos Szemirámisz
17,1183,Player0042,Major Paks
18,1182,Player0052,Sipos Dorog
19,1178,Player0011,Szalai Jávorka
20,1175,Player0009,Balog Szilvió
21,1174,Player0019,Kovách Fillisz
22,1172,Player0001,Tót Jutalom
23,1171,Player002f,Nagy Szulita
24,1166,Player0035,Sóos Fehéra
25,1165,Player0016,Mészáros Herta
26,1165,Player0031,Nagy Sugárka
27,1163,Player0056,Szűcs Torna
28,1161,Player0046,Barna Zinajda
29,1161,Player0003,Virágh Fernanda
30,1160,Player0058,Molnár Antigon
31,1157,Player0063,Takács Pécs
32,1154,Player0026,Német Márk
33,1154,Player000a,Lakatos Ozor
34,1152,Player0001,Tót Jutalom
35,1151,Player003c,Pásztor Bökény
36,1147,Player002a,Tóth Kocsárd
37,1145,Player004c,Lengyel Ódor
38,1145,Player0061,Hegedűs Eldvin
39,1145,Player0059,Bakos Szörénke
40,1142,Player001a,Halász Linett
41,1142,Player0004,Székely Hódos
42,1142,Player002b,Juhász Fabó
43,1142,Player0056,Szűcs Torna
44,1141,Player0005,Hajdú András
45,1140,Player001f,Budai Kála
46,1138,Player0031,Nagy Sugárka
47,1131,Player001f,Budai Kála
48,1131,Player0036,Tóth Bátony
49,1131,Player0015,Magyar Évald
50,1128,Player0046,Barna Zinajda
51,1128,Player0048,Takács Zselyke
52,1127,Player0033,Pataki Anics
53,1127,Player001b,Major Léla
54,1126,Player0063,Takács Pécs
55,1126,Player003c,Pásztor Bökény
56,1125,Player0027,Pásztor Johanna
57,1125,Player001c,Tót Radakund
58,1125,Player0012,Kovách Annamária
59,1124,Player0061,Hegedűs Eldvin
60,1123,Player0010,Rácz Lamberta
61,1122,Player0013,Német Cippóra
62,1120,Player0004,Székely Hódos
63,1120,Player0007,Farkas Viola
64,1119,Player0063,Takács Pécs
65,1118,Player0032,Szűcs Obadiás
66,1118,Player003d,Gulyás Flanna
67,1116,Player0053,Barna Boglárka
68,1116,Player0024,Kis Agaton
69,1116,Player0020,Kováts Zelinke
70,1114,Player000f,Kis Enna
71,1112,Player0006,Sipos Genovéva
72,1110,Player0032,Szűcs Obadiás
73,1110,Player0063,Takács Pécs
74,1108,Player0030,Török Rajka
75,1107,Player0058,Molnár Antigon
76,1106,Player004b,Nemes Csedő
77,1106,Player005d,Gulyás Bercel
78,1104,Player001e,Kováts Anatol
79,1104,Player0044,Varga Ulrika
80,1104,Player0012,Kovách Annamária
81,1104,Player0048,Takács Zselyke
82,1103,Player001e,Kováts Anatol
83,1102,Player0016,Mészáros Herta
84,1099,Player001b,Major Léla
85,1097,Player0036,Tóth Bátony
86,1095,Player0055,Nemes Ferdinanda
87,1094,Player0008,Nemes Füvellő
88,1094,Player0040,Mészáros Bogdán
89,1093,Player0045,Tót Filoméla
90,1092,Player0010,Rácz Lamberta
91,1092,Player0024,Kis Agaton
92,1091,Player004c,Lengyel Ódor
93,1091,Player0026,Német Márk
94,1090,Player0017,Kozma Baldemár
95,1090,Player0015,Magyar Évald
96,1089,Player0043,Deák Margarita
97,1088,Player0032,Szűcs Obadiás
98,1086,Player0031,Nagy Sugárka
99,1084,Player003b,Bakos Kalliopé
100,1084,Player0039,Fodor Seila
