Rank,Rankscore,Nick,Name,GameType
1,406,Player000d,Magyar Vitolda,Doom2dm
2,405,Player000b,Mészáros Zója,Doom2dm
3,402,Player0050,Lakatos Terestyén,Doom2dm
4,398,Player0030,Török Rajka,Doom2dm
5,396,Player0063,Takács Pécs,Doom2dm
6,395,Player0041,Molnár Samu,Doom2dm
7,394,Player000f,Kis Enna,Doom2dm
8,392,Player0010,Rácz Lamberta,Doom2dm
9,392,Player001f,Budai Kála,Doom2dm
10,391,Player0033,Pataki Anics,Doom2dm
11,387,Player003f,Fazekas Zoárda,Doom2dm
12,385,Player0023,Lakatos Koriolán,Doom2dm
13,384,Player0032,Szűcs Obadiás,Doom2dm
14,378,Player0001,Tót Jutalom,Doom2dm
15,378,Player0036,Tóth Bátony,Doom2dm
16,375,Player005f,Sipos Zotmund,Doom2dm
17,373,Player0010,Rácz Lamberta,Doom2dm
18,370,Player0046,Barna Zinajda,Doom2dm
19,369,Player0023,Lakatos Koriolán,Doom2dm
20,366,Player000e,Kocsis Inke,Doom2dm
21,364,Player0058,Molnár Antigon,Doom2dm
22,362,Player0026,Német Márk,Doom2dm
23,360,Player0021,Molnár Gizella,Doom2dm
24,360,Player004b,Nemes Csedő,Doom2dm
25,359,Player0028,Kováts Eliz,Doom2dm
26,359,Player000b,Mészáros Zója,Doom2dm
27,357,Player0036,Tóth Bátony,Doom2dm
28,355,Player000f,Kis Enna,Doom2dm
29,354,Player0045,Tót Filoméla,Doom2dm
30,352,Player0020,Kováts Zelinke,Doom2dm
31,351,Player0044,Varga Ulrika,Doom2dm
32,350,Player0054,Kovács Antal,Doom2dm
33,350,Player0046,Barna Zinajda,Doom2dm
34,350,Player004b,Nemes Csedő,Doom2dm
35,350,Player0044,Varga Ulrika,Doom2dm
36,349,Player0053,Barna Boglárka,Doom2dm
37,348,Player002d,Pataki Jozefina,Doom2dm
38,347,Player0057,Németh Szendike,Doom2dm
39,346,Player001e,Kováts Anatol,Doom2dm
40,345,Player001c,Tót Radakund,Doom2dm
41,344,Player0045,Tót Filoméla,Doom2dm
42,344,Player001d,Szilágyi Apszik,Doom2dm
43,344,Player0041,Molnár Samu,Doom2dm
44,343,Player0052,Sipos Dorog,Doom2dm
45,343,Player0031,Nagy Sugárka,Doom2dm
46,343,Player004d,Juhász Margarita,Doom2dm
47,343,Player0036,Tóth Bátony,Doom2dm
48,343,Player0036,Tóth Bátony,Doom2dm
49,342,Player0044,Varga Ulrika,Doom2dm
50,341,Player0021,Molnár Gizella,Doom2dm
51,341,Player0059,Bakos Szörénke,Doom2dm
52,339,Player000d,Magyar Vitolda,Doom2dm
53,339,Player0054,Kovács Antal,Doom2dm
54,338,Player002e,Rácz Ahillész,Doom2dm
55,337,Player003d,Gulyás Flanna,Doom2dm
56,337,Player000e,Kocsis Inke,Doom2dm
57,337,Player002e,Rácz Ahillész,Doom2dm
58,336,Player0041,Molnár Samu,Doom2dm
59,336,Player0048,Takács Zselyke,Doom2dm
60,336,Player002a,Tóth Kocsárd,Doom2dm
61,334,Player001a,Halász Linett,Doom2dm
62,334,Player0002,Vincze Lenóra,Doom2dm
63,333,Player0011,Szalai Jávorka,Doom2dm
64,332,Player0047,Székely Rajmonda,Doom2dm
65,331,Player0031,Nagy Sugárka,Doom2dm
66,331,Player003d,Gulyás Flanna,Doom2dm
67,331,Player0005,Hajdú András,Doom2dm
68,331,Player0029,Kis Eugénia,Doom2dm
69,331,Player002e,Rácz Ahillész,Doom2dm
70,330,Player005d,Gulyás Bercel,Doom2dm
71,330,Player0016,Mészáros Herta,Doom2dm
72,330,Player0011,Szalai Jávorka,Doom2dm
73,330,Player001b,Major Léla,Doom2dm
74,330,Player0032,Szűcs Obadiás,Doom2dm
75,329,Player0030,Török Rajka,Doom2dm
76,329,Player0002,Vincze Lenóra,Doom2dm
77,328,Player0051,Lakatos Szemirámisz,Doom2dm
78,328,Player004b,Nemes Csedő,Doom2dm
79,326,Player002a,Tóth Kocsárd,Doom2dm
80,326,Player004a,Hajdú Tömörkény,Doom2dm
81,326,Player0055,Nemes Ferdinanda,Doom2dm
82,326,Player001e,Kováts Anatol,Doom2dm
83,325,Player0023,Lakatos Koriolán,Doom2dm
84,325,Player0056,Szűcs Torna,Doom2dm
85,324,Player0049,Német Jarmila,Doom2dm
86,324,Player005a,Szabó Fürtike,Doom2dm
87,323,Player0043,Deák Margarita,Doom2dm
88,323,Player004d,Juhász Margarita,Doom2dm
89,323,Player003d,Gulyás Flanna,Doom2dm
90,322,Player0013,Német Cippóra,Doom2dm
91,321,Player0006,Sipos Genovéva,Doom2dm
92,321,Player0010,Rácz Lamberta,Doom2dm
93,320,Player0001,Tót Jutalom,Doom2dm
94,320,Player005b,Német Bernát,Doom2dm
95,319,Player0052,Sipos Dorog,Doom2dm
96,319,Player0019,Kovách Fillisz,Doom2dm
97,319,Player0038,Tót Cicelle,Doom2dm
98,318,Player0017,Kozma Baldemár,Doom2dm
99,318,Player005b,Német Bernát,Doom2dm
100,317,Player003e,Bakos Vásti,Doom2dm
