Rank,Rankscore,Nick,Name,GameType
1,437,Player004b,Nemes Csedő,SnL
2,432,Player003c,Pásztor Bökény,SnL
3,421,Player0005,Hajdú András,SnL
4,419,Player005e,Székely Olivér,SnL
5,418,Player0001,Tót Jutalom,SnL
6,411,Player0045,Tót Filoméla,SnL
7,393,Player0036,Tóth Bátony,SnL
8,391,Player002b,Juhász Fabó,SnL
9,388,Player0040,Mészáros Bogdán,SnL
10,382,Player003d,Gulyás Flanna,SnL
11,382,Player0056,Szűcs Torna,SnL
12,382,Player0031,Nagy Sugárka,SnL
13,381,Player0019,Kovách Fillisz,SnL
14,381,Player0063,Takács Pécs,SnL
15,381,Player000c,Farkas Burzán,SnL
16,377,Player0041,Molnár Samu,SnL
17,376,Player0032,Szűcs Obadiás,SnL
18,371,Player0048,Takács Zselyke,SnL
19,369,Player0058,Molnár Antigon,SnL
20,367,Player0011,Szalai Jávorka,SnL
21,367,Player0061,Hegedűs Eldvin,SnL
22,365,Player0027,Pásztor Johanna,SnL
23,365,Player0044,Varga Ulrika,SnL
24,365,Player000f,Kis Enna,SnL
25,364,Player001b,Major Léla,SnL
26,361,Player005d,Gulyás Bercel,SnL
27,360,Player0034,Török Fernandó,SnL
28,358,Player0029,Kis Eugénia,SnL
29,357,Player0043,Deák Margarita,SnL
30,357,Player0011,Szalai Jávorka,SnL
31,355,Player0040,Mészáros Bogdán,SnL
32,355,Player002b,Juhász Fabó,SnL
33,355,Player0033,Pataki Anics,SnL
34,355,Player0018,Balog Konrád,SnL
35,355,Player004e,Szilágyi Nyilas,SnL
36,355,Player0026,Német Márk,SnL
37,354,Player0059,Bakos Szörénke,SnL
38,354,Player0004,Székely Hódos,SnL
39,354,Player0004,Székely Hódos,SnL
40,353,Player0049,Német Jarmila,SnL
41,352,Player0036,Tóth Bátony,SnL
42,352,Player0061,Hegedűs Eldvin,SnL
43,351,Player004f,Novák Margarét,SnL
44,350,Player0060,Novák Tomázia,SnL
45,349,Player0057,Németh Szendike,SnL
46,347,Player004b,Nemes Csedő,SnL
47,346,Player002c,Varga Balzsam,SnL
48,345,Player003a,Török Bartyán,SnL
49,343,Player0028,Kováts Eliz,SnL
50,343,Player0061,Hegedűs Eldvin,SnL
51,342,Player005b,Német Bernát,SnL
52,342,Player0052,Sipos Dorog,SnL
53,341,Player0055,Nemes Ferdinanda,SnL
54,341,Player005f,Sipos Zotmund,SnL
55,341,Player0055,Nemes Ferdinanda,SnL
56,340,Player0023,Lakatos Koriolán,SnL
57,340,Player002d,Pataki Jozefina,SnL
58,339,Player0062,Vincze Dezsider,SnL
59,339,Player0033,Pataki Anics,SnL
60,339,Player0052,Sipos Dorog,SnL
61,337,Player0056,Szűcs Torna,SnL
62,337,Player000f,Kis Enna,SnL
63,337,Player003f,Fazekas Zoárda,SnL
64,335,Player0062,Vincze Dezsider,SnL
65,335,Player0023,Lakatos Koriolán,SnL
66,335,Player0019,Kovách Fillisz,SnL
67,335,Player0030,Török Rajka,SnL
68,335,Player000d,Magyar Vitolda,SnL
69,334,Player0055,Nemes Ferdinanda,SnL
70,334,Player0054,Kovács Antal,SnL
71,334,Player0020,Kováts Zelinke,SnL
72,334,Player004e,Szilágyi Nyilas,SnL
73,334,Player004b,Nemes Csedő,SnL
74,333,Player005d,Gulyás Bercel,SnL
75,332,Player005b,Német Bernát,SnL
76,331,Player002e,Rácz Ahillész,SnL
77,330,Player0033,Pataki Anics,SnL
78,329,Player002a,Tóth Kocsárd,SnL
79,329,Player0038,Tót Cicelle,SnL
80,329,Player0014,Bíró Hamilton,SnL
81,328,Player005f,Sipos Zotmund,SnL
82,327,Player002a,Tóth Kocsárd,SnL
83,327,Player005c,Major Stefi,SnL
84,327,Player001c,Tót Radakund,SnL
85,326,Player0033,Pataki Anics,SnL
86,326,Player0045,Tót Filoméla,SnL
87,325,Player003c,Pásztor Bökény,SnL
88,325,Player005f,Sipos Zotmund,SnL
89,324,Player003c,Pásztor Bökény,SnL
90,324,Player002d,Pataki Jozefina,SnL
91,323,Player0030,Török Rajka,SnL
92,322,Player000c,Farkas Burzán,SnL
93,322,Player0006,Sipos Genovéva,SnL
94,322,Player0023,Lakatos Koriolán,SnL
95,322,Player0059,Bakos Szörénke,SnL
96,321,Player0040,Mészáros Bogdán,SnL
97,320,Player003f,Fazekas Zoárda,SnL
98,320,Player000c,Farkas Burzán,SnL
99,320,Player000e,Kocsis Inke,SnL
100,319,Player001e,Kováts Anatol,SnL
