Rank,Rankscore,Nick,Name,GameType
1,421,Player001c,Tót Radakund,TF2
2,420,Player0043,Deák Margarita,TF2
3,412,Player0045,Tót Filoméla,TF2
4,393,Player0002,Vincze Lenóra,TF2
5,386,Player0005,Hajdú András,TF2
6,385,Player0035,Sóos Fehéra,TF2
7,380,Player0059,Bakos Szörénke,TF2
8,375,Player0030,Török Rajka,TF2
9,374,Player0032,Szűcs Obadiás,TF2
10,374,Player001f,Budai Kála,TF2
11,373,Player005e,Székely Olivér,TF2
12,373,Player0061,Hegedűs Eldvin,TF2
13,373,Player0064,Takács Goldi,TF2
14,371,Player001e,Kováts Anatol,TF2
15,371,Player0052,Sipos Dorog,TF2
16,371,Player0057,Németh Szendike,TF2
17,369,Player003d,Gulyás Flanna,TF2
18,366,Player004d,Juhász Margarita,TF2
19,365,Player0004,Székely Hódos,TF2
20,364,Player0036,Tóth Bátony,TF2
21,363,Player0031,Nagy Sugárka,TF2
22,363,Player0016,Mészáros Herta,TF2
23,361,Player0024,Kis Agaton,TF2
24,361,Player0033,Pataki Anics,TF2
25,360,Player0048,Takács Zselyke,TF2
26,360,Player0064,Takács Goldi,TF2
27,360,Player0031,Nagy Sugárka,TF2
28,360,Player0063,Takács Pécs,TF2
29,359,Player003d,Gulyás Flanna,TF2
30,359,Player004c,Lengyel Ódor,TF2
31,356,Player0053,Barna Boglárka,TF2
32,354,Player0038,Tót Cicelle,TF2
33,354,Player0033,Pataki Anics,TF2
34,352,Player0010,Rácz Lamberta,TF2
35,352,Player0053,Barna Boglárka,TF2
36,352,Player0039,Fodor Seila,TF2
37,352,Player000c,Farkas Burzán,TF2
38,352,Player0035,Sóos Fehéra,TF2
39,351,Player0026,Német Márk,TF2
40,350,Player0032,Szűcs Obadiás,TF2
41,348,Player0021,Molnár Gizella,TF2
42,348,Player0042,Major Paks,TF2
43,348,Player0029,Kis Eugénia,TF2
44,347,Player005b,Német Bernát,TF2
45,347,Player002f,Nagy Szulita,TF2
46,347,Player0009,Balog Szilvió,TF2
47,347,Player001a,Halász Linett,TF2
48,346,Player0010,Rácz Lamberta,TF2
49,344,Player002f,Nagy Szulita,TF2
50,344,Player003a,Török Bartyán,TF2
51,344,Player005f,Sipos Zotmund,TF2
52,343,Player0036,Tóth Bátony,TF2
53,343,Player0041,Molnár Samu,TF2
54,342,Player005f,Sipos Zotmund,TF2
55,342,Player0046,Barna Zinajda,TF2
56,342,Player0043,Deák Margarita,TF2
57,342,Player002d,Pataki Jozefina,TF2
58,342,Player003f,Fazekas Zoárda,TF2
59,340,Player001e,Kováts Anatol,TF2
60,339,Player004d,Juhász Margarita,TF2
61,339,Player004f,Novák Margarét,TF2
62,339,Player0044,Varga Ulrika,TF2
63,337,Player0004,Székely Hódos,TF2
64,336,Player002e,Rácz Ahillész,TF2
65,336,Player005d,Gulyás Bercel,TF2
66,336,Player004d,Juhász Margarita,TF2
67,335,Player0005,Hajdú András,TF2
68,334,Player003b,Bakos Kalliopé,TF2
69,334,Player0001,Tót Jutalom,TF2
70,334,Player0045,Tót Filoméla,TF2
71,334,Player001f,Budai Kála,TF2
72,334,Player0027,Pásztor Johanna,TF2
73,333,Player004b,Nemes Csedő,TF2
74,333,Player004d,Juhász Margarita,TF2
75,333,Player0036,Tóth Bátony,TF2
76,333,Player002c,Varga Balzsam,TF2
77,332,Player000e,Kocsis Inke,TF2
78,331,Player005c,Major Stefi,TF2
79,331,Player0054,Kovács Antal,TF2
80,331,Player004a,Hajdú Tömörkény,TF2
81,330,Player0006,Sipos Genovéva,TF2
82,330,Player0001,Tót Jutalom,TF2
83,329,Player002d,Pataki Jozefina,TF2
84,329,Player0012,Kovách Annamária,TF2
85,328,Player000e,Kocsis Inke,TF2
86,328,Player000f,Kis Enna,TF2
87,328,Player0012,Kovách Annamária,TF2
88,328,Player004f,Novák Margarét,TF2
89,328,Player0013,Német Cippóra,TF2
90,327,Player003f,Fazekas Zoárda,TF2
91,327,Player0030,Török Rajka,TF2
92,326,Player0060,Novák Tomázia,TF2
93,326,Player005b,Német Bernát,TF2
94,325,Player0007,Farkas Viola,TF2
95,324,Player001d,Szilágyi Apszik,TF2
96,324,Player0034,Török Fernandó,TF2
97,324,Player0055,Nemes Ferdinanda,TF2
98,324,Player0033,Pataki Anics,TF2
99,324,Player0032,Szűcs Obadiás,TF2
100,324,Player0031,Nagy Sugárka,TF2
